"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"89","Mark Hendrickson",81,"220",79.5,222,1996
"90","Ryan Minor",79,"221",79.5,222,1996
"91","Moochie Norris",73,"175",79.5,222,1996
"92","Shawn Harvey",76,"184",79.5,222,1996
"93","Joseph Blair",82,"250",79.5,222,1996
"94","Doron Sheffer",77,"199",79.5,222,1996
"95","Jeff McInnis",76,"190",79.5,222,1996
"96","Steve Hamer",84,"245",79.5,222,1996
"97","Russ Millard",80,"242",79.5,222,1996
"98","Marcus Mann",80,"246",79.5,222,1996
"99","Jason Sasser",79,"225",79.5,222,1996
"100","Randy Livingston",76,"209",79.5,222,1996
"101","Ben Davis",81,"240",79.5,222,1996
"102","Malik Rose",79,"250",79.5,222,1996
"103","Joe Vogel",83,"254",79.5,222,1996
"104","Marcus Brown",75,"185",79.5,222,1996
"105","Ron Riley",77,"206",79.5,222,1996
"106","Jamie Feick",81,"255",79.5,222,1996
"107","Amal McCaskill",83,"235",79.5,222,1996
"108","Terrell Bell",82,"243",79.5,222,1996
"109","Chris Robinson",77,"200",79.5,222,1996
"110","Mark Pope",82,"235",79.5,222,1996
"111","Jeff Nordgaard",79,"225",79.5,222,1996
"112","Shandon Anderson",78,"208",79.5,222,1996
"113","Ronnie Henderson",76,"206",79.5,222,1996
"114","Reggie Geary",74,"187",79.5,222,1996
"115","Drew Barry",77,"191",79.5,222,1996
"116","Darnell Robinson",83,"272",79.5,222,1996
"117","Tim Duncan",84,"248",79.2982456140351,222.558823529412,1997
"118","Keith Van Horn",82,"220",79.2982456140351,222.558823529412,1997
"119","Chauncey Billups",75,"202",79.2982456140351,222.558823529412,1997
"120","Antonio Daniels",76,"195",79.2982456140351,222.558823529412,1997
"121","Tony Battie",83,"230",79.2982456140351,222.558823529412,1997
"122","Ron Mercer",79,"210",79.2982456140351,222.558823529412,1997
"123","Tim Thomas",82,"230",79.2982456140351,222.558823529412,1997
"124","Adonal Foyle",82,"250",79.2982456140351,222.558823529412,1997
"125","Tracy McGrady",80,"210",79.2982456140351,222.558823529412,1997
"126","Danny Fortson",79,"260",79.2982456140351,222.558823529412,1997
"127","Olivier SaintJean",78,"224",79.2982456140351,222.558823529412,1997
"128","Austin Croshere",81,"235",79.2982456140351,222.558823529412,1997
"129","Derek Anderson",77,"194",79.2982456140351,222.558823529412,1997
"130","Maurice Taylor",81,"260",79.2982456140351,222.558823529412,1997
"131","Kelvin Cato",83,"255",79.2982456140351,222.558823529412,1997
"132","Brevin Knight",70,"173",79.2982456140351,222.558823529412,1997
"133","Johnny Taylor",81,"220",79.2982456140351,222.558823529412,1997
"134","Chris Anstey",84,"249",79.2982456140351,222.558823529412,1997
"135","Scot Pollard",83,"265",79.2982456140351,222.558823529412,1997
"136","Paul Grant",84,"245",79.2982456140351,222.558823529412,1997
"137","Anthony Parker",78,"215",79.2982456140351,222.558823529412,1997
"138","Ed Gray",75,"210",79.2982456140351,222.558823529412,1997
"139","Bobby Jackson",73,"185",79.2982456140351,222.558823529412,1997
"140","Rodrick Rhodes",78,"225",79.2982456140351,222.558823529412,1997
"141","John Thomas",81,"265",79.2982456140351,222.558823529412,1997
"142","Charles Smith",76,"194",79.2982456140351,222.558823529412,1997
"143","Jacque Vaughn",73,"190",79.2982456140351,222.558823529412,1997
"144","Keith Booth",78,"226",79.2982456140351,222.558823529412,1997
"145","Serge Zwikker",87,"274",79.2982456140351,222.558823529412,1997
"146","Mark Sanford",81,"210",79.2982456140351,222.558823529412,1997
"147","Charles OBannon",77,"209",79.2982456140351,222.558823529412,1997
"148","James Cotton",77,"220",79.2982456140351,222.558823529412,1997
"149","Marko Milic",78,"235",79.2982456140351,222.558823529412,1997
"150","Bubba Wells",77,"230",79.2982456140351,222.558823529412,1997
"151","Kebu Stewart",80,"239",79.2982456140351,222.558823529412,1997
"152","James Collins",76,"196",79.2982456140351,222.558823529412,1997
"153","Marc Jackson",82,"270",79.2982456140351,222.558823529412,1997
"154","Jerald Honeycutt",81,"245",79.2982456140351,222.558823529412,1997
"155","Anthony Johnson",75,"190",79.2982456140351,222.558823529412,1997
"156","Eddie Elisma",81,"210",79.2982456140351,222.558823529412,1997
"157","Jason Lawson",83,"240",79.2982456140351,222.558823529412,1997
"158","Stephen Jackson",80,"218",79.2982456140351,222.558823529412,1997
"159","Gordon Malone",83,"215",79.2982456140351,222.558823529412,1997
"160","Cedric Henderson",79,"215",79.2982456140351,222.558823529412,1997
"161","God Shammgod",72,"169",79.2982456140351,222.558823529412,1997
"162","Eric Washington",76,"190",79.2982456140351,222.558823529412,1997
"163","Alvin Williams",77,"185",79.2982456140351,222.558823529412,1997
